mar_emp,DiasMora,Factor,STOTAL,df_Life_M,utilizacion,prom_saldo_6m,prom_diasmora_6m,prom_df_life_M_6m,prom_utilizacion_6m,prom_saldo_12m,prom_diasmora_12m,prom_df_life_M_12m,prom_utilizacion_12m
0,0,0.9959730864,1059635.34,31,1.009176514,1066036.293,12.5,28.5,1.01527266,1063780.398,8.583333333,25.5,1.013124188
0,4,1,1055368.28,36,1.005112648,1058636.673,0.6666666667,33.5,1.008225403,1063477.097,8.916666667,30.5,1.01283533
0,63,1,1055368.28,38,1.005112648,1057218.485,17,35.5,1.006874748,1060572.368,12.83333333,32.5,1.010068921
0,25,1.011936313,1119208.22,27,1.017462018,1115530.557,4.166666667,24.5,1.014118688,1115096.444,2.083333333,21.5,1.01372404
0,86,0.9780195657,1158021.25,30,1.052746591,1129549.998,32.66666667,27.5,1.026863635,1122218.453,16.33333333,24.5,1.020198593
0,56,0.9981285653,1134690.94,33,1.031537218,1135240.372,42,30.5,1.032036702,1125385.464,23.08333333,27.5,1.023077695
0,57,1,1132567.44,35,1.029606764,1137425.79,51.83333333,32.5,1.034023445,1129918.77,35.08333333,29.5,1.027198882
0,0,1.028369663,2480709.37,22,0.992283748,2362210.798,0,19.5,0.9448843193,2400519.18,0,16.5,0.960207672
0,87,0.9574145007,1786493.32,11,1.050878424,1747300.298,37.83333333,8.5,1.027823705,1734236.369,18.91666667,5.5,1.020139041
0,57,1.012752617,5186544.02,34,1.037308804,5163229.74,47.33333333,31.5,1.032645948,5135592.675,35.33333333,28.5,1.027118535
0,87,0.504803465,990577.63,10,1.031851698,981269.5267,28.16666667,7.5,1.022155757,977153.3364,15.36363636,5,1.017868059
0,33,1,400000,12,1,406110.3417,9.666666667,9.5,1.015275854,405939.8192,4.833333333,6.5,1.014849548
0,0,0.53315846,1063786.89,10,1.013130371,1063598.542,0,7.5,1.012950992,1062985.042,0,5,1.012366706
0,56,0.5215715786,1087419.26,14,1.03563739,1068778.198,13.16666667,11.5,1.017883998,1066128.979,6.583333333,8.5,1.015360933
0,58,1.012366517,4974006.06,10,1.036251263,4907857.085,28,7.5,1.022470226,4857416.139,15.27272727,5,1.011961696
0,87,1,5035517.19,11,1.049066081,4938409.122,42.5,8.5,1.028835234,4872257.893,21.25,5.5,1.015053728
0,0,1.029190855,2022235.03,10,1.011117515,1688612.305,0,7.5,0.8443061525,1841150.528,0,5,0.9205752641
0,28,1.028099316,2024382.05,20,1.012191025,2008053.32,8.833333333,17.5,1.00402666,2008834.651,4.416666667,14.5,1.004417325
0,0,0.992257041,2021068.44,17,1.01053422,2020064.537,0,14.5,1.010032268,2013997.173,0,11.5,1.006998586
